timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769755513.9953516,SENT,8e56a3aa-6df7-46a6-8a52-39d4a5eb0d69,d544c7d9-21e8-4429-b287-56d7da6e548e,c5,c3,3364,?,p2,
1769755513.9954765,CREATED,8545728c-ab52-4fe2-9e73-4f7e629a20da,d5ad659d-982a-4eb2-aaea-1ef3d89059af,c5,c3,27,?,?,surb={'id': 'a61e9d29-2382-40eb-af19-64767f75e9be', 'route': ['p3', 'e8', 'i1', 'x10', 'p2', 'c5']}
1769755514.174143,SENT,a452b2d2-5aa1-4993-b3f7-c822c7969212,362521d8-b0ac-4c38-ade4-63717c3dee89,c5,c3,3405,?,p2,
1769755514.1742923,CREATED,a9b5b2dc-af24-43c9-973e-6a099e07a770,d5ad659d-982a-4eb2-aaea-1ef3d89059af,c5,c3,27,?,?,surb={'id': 'a61e9d29-2382-40eb-af19-64767f75e9be', 'route': ['p3', 'e8', 'i1', 'x10', 'p2', 'c5']}
1769755514.7179306,SENT,8b464818-39cb-4463-bd8a-1fe00f477324,49a1076b-85ff-4310-ab34-55e2dab576ae,c5,c3,3389,?,p2,
1769755514.7180932,CREATED,6d4d9b8d-577f-43cd-8588-eeda7fd83ef4,c88d69a3-be26-443f-89cb-50cde03d839f,c5,c3,23,?,?,surb={'id': '7e87d2e7-8abe-4a05-a47f-e5d58921f9e9', 'route': ['p3', 'e10', 'i2', 'x3', 'p2', 'c5']}
1769755515.0434,RECEIVED,5f1525a9-878e-4541-8a71-e5ddae712668,ccc123d7-b38a-4ee7-a639-ba6c7ac4a052,c3,c5,27,p2,?,surb={'id': '0f536e71-fe53-4ca7-b51c-5cc3a94af22b', 'route': ['p2', 'e4', 'i2', 'x3', 'p3', 'c3']}
1769755515.265743,RECEIVED,4245dda4-9736-46ed-8cc6-36754a39f06a,d69c56f6-2c52-4c05-a0ca-081086f77cd7,c3,c5,26,p2,?,surb={'id': '13ba9b83-7df6-4f34-a4d2-5b3c3b7cec81', 'route': ['p2', 'e8', 'i11', 'x9', 'p3', 'c3']}
1769755515.3298924,RECEIVED,a9f6fbb7-07c6-4b00-8bd2-5ce1e74bf3a0,120c12bc-fdf7-4692-a596-76e6323b814f,c3,c5,27,p2,?,surb={'id': '90a383f2-effa-4925-8563-9e5dae5d6fe7', 'route': ['p2', 'e1', 'i8', 'x8', 'p3', 'c3']}
1769755515.554949,RECEIVED,dd66ad89-0d8e-41fd-af22-db4d52776664,3a286a90-78f6-40ea-af2d-4debe552d570,c3,c5,27,p2,?,surb={'id': '3c05f6ee-4a6d-4313-a9b1-5036af27555b', 'route': ['p2', 'e5', 'i7', 'x3', 'p3', 'c3']}
1769755516.0069835,SENT,18d70ca3-ceea-4362-8e00-ab2b1ab7d66a,c1900185-1f4b-4d26-bd7c-34106e69d9d2,c5,c3,3356,?,p2,
1769755516.00716,CREATED,4b7b6144-be0d-403c-812b-299443c43640,c88d69a3-be26-443f-89cb-50cde03d839f,c5,c3,23,?,?,surb={'id': '7e87d2e7-8abe-4a05-a47f-e5d58921f9e9', 'route': ['p3', 'e10', 'i2', 'x3', 'p2', 'c5']}
1769755516.1601317,SENT,aa1a11c9-0063-49f0-b53f-eacc57aa8c12,6c3e423d-9f3b-47fe-8554-ba80942dffef,c5,c3,3355,?,p2,
1769755516.1604998,CREATED,1ea690ff-3177-4939-921f-7b376a40403d,6ffe4ff8-a2d4-4b3c-80fd-32c44af4b65d,c5,c3,27,?,?,surb={'id': 'e1d14b38-9a23-4112-b598-034eddcab6ed', 'route': ['p3', 'e9', 'i2', 'x10', 'p2', 'c5']}
1769755516.3087742,RECEIVED,38de7bab-24f8-4525-a094-fadf7c94d037,4ca6b76d-0b45-4920-a32d-d7186c5a07cd,c3,c5,27,p2,?,surb={'id': '4a659615-ff6f-4e8d-a025-3737747e1ff4', 'route': ['p2', 'e8', 'i3', 'x12', 'p3', 'c3']}
1769755516.4688158,SENT,568b0517-ef4a-484f-9204-2393e851a047,c783b356-c1a9-4c15-ae1a-1b65c6c1065a,c5,c3,3389,?,p2,
1769755516.468948,CREATED,b62ff2fe-68fe-4520-98a2-3bb77c32f29f,6ffe4ff8-a2d4-4b3c-80fd-32c44af4b65d,c5,c3,27,?,?,surb={'id': 'e1d14b38-9a23-4112-b598-034eddcab6ed', 'route': ['p3', 'e9', 'i2', 'x10', 'p2', 'c5']}
1769755516.4960656,SENT,52b6c8dc-bc95-4c80-8881-e022daf2a503,fdc42147-8dc1-4468-a756-88d671f22f1b,c5,c3,3360,?,p2,
1769755516.4963186,CREATED,862ca5e6-1f4a-4bee-b296-9e3fe3e95fc5,e2200584-03b9-4756-b6c2-d3bfe349abe5,c5,c3,27,?,?,surb={'id': '801d901b-7af4-4dc8-bb6a-472747cfaf8a', 'route': ['p3', 'e4', 'i9', 'x2', 'p2', 'c5']}
1769755516.754791,RECEIVED,89c83d31-c14d-422b-bff1-269a6e1ebdaa,a7cdb9da-e83f-4542-88ef-a655a1642ae6,c3,c5,27,p2,?,surb={'id': '59099a8b-dd7a-40ae-a374-b860c9c38c6a', 'route': ['p2', 'e7', 'i3', 'x4', 'p3', 'c3']}
1769755516.83544,SENT,fd17786e-4951-45b2-a2e6-9f641b67df0e,72d4866d-4c0a-424e-a788-314b7e686f23,c5,c3,3375,?,p2,
1769755516.835596,CREATED,5d31b6a0-5af5-4b52-b1d4-90e8a42e234a,e2200584-03b9-4756-b6c2-d3bfe349abe5,c5,c3,27,?,?,surb={'id': '801d901b-7af4-4dc8-bb6a-472747cfaf8a', 'route': ['p3', 'e4', 'i9', 'x2', 'p2', 'c5']}
1769755517.1452775,RECEIVED,a3ebd086-a89e-459c-8ee9-c643a3ec8c7a,a7cdb9da-e83f-4542-88ef-a655a1642ae6,c3,c5,27,p2,?,surb={'id': '59099a8b-dd7a-40ae-a374-b860c9c38c6a', 'route': ['p2', 'e7', 'i3', 'x4', 'p3', 'c3']}
1769755517.571263,RECEIVED,61908950-a10f-4bd6-8456-6a66d432c01c,b0311b44-ecc6-4992-8b4b-b441fd042191,c3,c5,26,p2,?,surb={'id': '8ce06bf6-fd46-498c-8299-56f7b9b42253', 'route': ['p2', 'e4', 'i5', 'x7', 'p3', 'c3']}
1769755517.8378706,RECEIVED,df7c2ed4-e97a-4dd9-b357-17a058688dad,56b7ba80-a202-4626-92a8-f9c0ed47b33a,c3,c5,26,p2,?,surb={'id': 'e2772c98-3d0b-4b17-93ab-24bd28e96eac', 'route': ['p2', 'e8', 'i7', 'x6', 'p3', 'c3']}
1769755518.1291676,SENT,2f8f50d2-d0b2-4746-8109-1a98611eef42,ca44b2e0-4f1e-4f66-aac3-dc293e3a948b,c5,c3,3360,?,p2,
1769755518.1293197,CREATED,4985d500-a695-4e38-a63e-81c8e9026e0a,5a982df8-2753-4ee4-9cc0-039f34425c0f,c5,c3,27,?,?,surb={'id': 'b8ab3827-f8b0-45f7-8cb4-a4de84fd0a7b', 'route': ['p3', 'e7', 'i2', 'x2', 'p2', 'c5']}
1769755518.624851,SENT,d0fda2f5-a581-4890-843e-7490069599bc,a391ef44-2bac-4d6e-81c4-d8014defd87b,c5,c3,3388,?,p2,
1769755518.6249983,CREATED,2f1a6460-b6d4-41c2-92e6-68095638826b,5a982df8-2753-4ee4-9cc0-039f34425c0f,c5,c3,27,?,?,surb={'id': 'b8ab3827-f8b0-45f7-8cb4-a4de84fd0a7b', 'route': ['p3', 'e7', 'i2', 'x2', 'p2', 'c5']}
1769755518.811025,SENT,bcfeacc3-1e9e-408c-9051-9f017b010595,8b8fdb21-64b5-40ee-8e84-8ec8bfe94ed4,c5,c3,3362,?,p2,
1769755518.8111908,CREATED,3a8799cc-7aaa-4e09-82c5-f9373c1f86f4,6bcb8ca6-1d0c-494f-8c4c-a23907d296fb,c5,c3,25,?,?,surb={'id': '1f0038cf-407f-4290-ae73-d40f769acb89', 'route': ['p3', 'e9', 'i1', 'x9', 'p2', 'c5']}
1769755519.0904796,SENT,c4019fae-8379-4c98-9518-b1218a8c091f,58072a42-628c-4fdc-b0be-b0e01c910b8f,c5,c3,3352,?,p2,
1769755519.0905871,CREATED,79f50a18-5260-49b2-8709-6dd811c1cbfb,6bcb8ca6-1d0c-494f-8c4c-a23907d296fb,c5,c3,25,?,?,surb={'id': '1f0038cf-407f-4290-ae73-d40f769acb89', 'route': ['p3', 'e9', 'i1', 'x9', 'p2', 'c5']}
1769755519.499496,SENT,3fc09228-63fc-4fe0-b22b-76b6a022d263,db091499-0768-4991-ba2b-6240bc40a221,c5,c3,3382,?,p2,
1769755519.4996862,CREATED,42c0f2c3-efdb-4aca-9376-af7d077e2a3c,9afaefbc-250f-40d6-ab35-056375d420f1,c5,c3,27,?,?,surb={'id': '80620be6-d32a-4869-bacc-66a020873643', 'route': ['p3', 'e8', 'i7', 'x6', 'p2', 'c5']}
1769755519.7144103,SENT,3e8ef905-56f5-453f-b765-607ff08d1b0b,433dc4bd-4204-4de7-903f-cc0735c706ec,c5,c3,3363,?,p2,
1769755519.714544,CREATED,a97fe02f-34fb-40e3-a2e3-2b76ce2a5e56,9afaefbc-250f-40d6-ab35-056375d420f1,c5,c3,27,?,?,surb={'id': '80620be6-d32a-4869-bacc-66a020873643', 'route': ['p3', 'e8', 'i7', 'x6', 'p2', 'c5']}
1769755519.8025308,SENT,af85fe29-05db-4501-afda-15bd39d5f3c2,c102fab9-4a7f-49cc-8164-6dd2f2dacaf0,c5,c3,3388,?,p2,
1769755519.8026657,CREATED,518effb9-441a-4859-ae42-54b60c3209bb,39e0aacb-5bd4-411a-9e96-5d850874ae51,c5,c3,27,?,?,surb={'id': '06123409-1fcb-4d8d-9d12-c9b4ed1f8ded', 'route': ['p3', 'e1', 'i10', 'x8', 'p2', 'c5']}
1769755520.0201085,RECEIVED,3f0df68c-72dc-428f-9520-cd6b60454a90,77484ac0-bdfa-47f6-a730-950403e42b9b,c3,c5,27,p2,?,surb={'id': 'ec34bd78-1c90-45bf-8720-060bc044e0eb', 'route': ['p2', 'e11', 'i2', 'x10', 'p3', 'c3']}
1769755520.4313958,RECEIVED,5d3fc94c-3a6e-46d6-b1b7-cfba8d417482,56b7ba80-a202-4626-92a8-f9c0ed47b33a,c3,c5,26,p2,?,surb={'id': 'e2772c98-3d0b-4b17-93ab-24bd28e96eac', 'route': ['p2', 'e8', 'i7', 'x6', 'p3', 'c3']}
1769755520.9101765,RECEIVED,75a33d4a-8672-4eef-be18-9282aa94e03f,c9b341b3-fb47-4bb9-9021-28b5549bdc1b,c3,c5,27,p2,?,surb={'id': 'a6a7e8d8-cd99-4853-b7c9-c1637c8e7de0', 'route': ['p2', 'e9', 'i7', 'x11', 'p3', 'c3']}
1769755521.0338838,SENT,3a074447-f07f-480a-ac9b-d99d7814ed2d,7eff4a86-6ba7-4df8-9184-f9d9c0be8fa0,c5,c3,3398,?,p2,
1769755521.0341501,CREATED,9dcc86a5-e749-43e6-ab13-846aaaa6ca2a,39e0aacb-5bd4-411a-9e96-5d850874ae51,c5,c3,27,?,?,surb={'id': '06123409-1fcb-4d8d-9d12-c9b4ed1f8ded', 'route': ['p3', 'e1', 'i10', 'x8', 'p2', 'c5']}
1769755521.1306038,SENT,720100d8-32ed-44da-8989-0f1aab55c4a1,b255eef2-1d9d-4344-bef1-8d8b4fdb21e2,c5,c3,3386,?,p2,
1769755521.1307554,CREATED,bfc618a6-1a8d-45bd-8937-e67a271ed628,ec47b0f1-f3da-4af8-bbf6-98451177beb4,c5,c3,27,?,?,surb={'id': 'afbac751-79a9-4f46-be44-e51ae5e5caa4', 'route': ['p3', 'e5', 'i10', 'x11', 'p2', 'c5']}
1769755521.4193072,RECEIVED,44d02edf-f356-4611-a0bc-2dba318f00bd,8b7d0198-ea55-4d10-812d-3d5ffd0c4f93,c3,c5,27,p2,?,surb={'id': '20baf1db-1251-4985-ae90-3820949f2139', 'route': ['p2', 'e8', 'i5', 'x3', 'p3', 'c3']}
1769755521.441217,SENT,39a1ebe4-15cc-4ac2-bfa2-2a64e94f25bc,e6160cce-dcdb-4760-82c8-9bc78a7e29dc,c5,c3,3386,?,p2,
1769755521.4412947,CREATED,1ed02e42-d349-4a1f-aa44-e503a9fccfdb,ec47b0f1-f3da-4af8-bbf6-98451177beb4,c5,c3,27,?,?,surb={'id': 'afbac751-79a9-4f46-be44-e51ae5e5caa4', 'route': ['p3', 'e5', 'i10', 'x11', 'p2', 'c5']}
1769755522.2326791,SENT,230be5a8-d93c-47b5-b87a-167fca30177c,9d55d7f2-5d4a-4a13-a24f-b11c7f5bbb38,c5,c3,3384,?,p2,
1769755522.2328126,CREATED,de5b4a1a-89e4-4c35-b1e8-db6471e498c3,30fa4b9d-40dc-4123-9417-941f67f62cc9,c5,c3,27,?,?,surb={'id': 'd925d293-f3fb-472d-b2d4-5eb9332b11fe', 'route': ['p3', 'e5', 'i2', 'x7', 'p2', 'c5']}
1769755522.3421502,RECEIVED,ae39ddb7-2845-42c4-ba95-491c2dd57d9c,8b7d0198-ea55-4d10-812d-3d5ffd0c4f93,c3,c5,27,p2,?,surb={'id': '20baf1db-1251-4985-ae90-3820949f2139', 'route': ['p2', 'e8', 'i5', 'x3', 'p3', 'c3']}
1769755522.355675,SENT,5be4c0c2-cfda-40a0-8bd9-8313cbfe11b3,2a8c987f-f701-4ed1-863f-331f3ba2bd70,c5,c3,3372,?,p2,
1769755522.3558166,CREATED,75f2b06d-3255-41a0-9846-bacef58a9ecd,30fa4b9d-40dc-4123-9417-941f67f62cc9,c5,c3,27,?,?,surb={'id': 'd925d293-f3fb-472d-b2d4-5eb9332b11fe', 'route': ['p3', 'e5', 'i2', 'x7', 'p2', 'c5']}
1769755522.9802258,SENT,259df15d-77e1-46e7-aba3-5379d6d8008e,64029a5e-7493-467f-8e00-a1329debe11a,c5,c3,3400,?,p2,
1769755522.9803996,CREATED,c8d7b15f-ba68-4408-adfa-de934c45d0c1,f5fd2da5-9544-4769-9edf-d2846b171ffd,c5,c3,27,?,?,surb={'id': '37d4cf8c-aad5-4d33-aabe-05082478f8b0', 'route': ['p3', 'e7', 'i10', 'x12', 'p2', 'c5']}
1769755523.0394542,SENT,96269275-9f1d-4bbf-a86b-18a2ec0c2935,1255d35c-c429-4a6c-a88d-388d9356c8c6,c5,c3,3396,?,p2,
1769755523.0395834,CREATED,6391ffca-4a5b-4d2d-96a3-1ca15d8088fa,f5fd2da5-9544-4769-9edf-d2846b171ffd,c5,c3,27,?,?,surb={'id': '37d4cf8c-aad5-4d33-aabe-05082478f8b0', 'route': ['p3', 'e7', 'i10', 'x12', 'p2', 'c5']}
1769755523.3150272,SENT,e95c1a86-a296-41fe-addf-9cfbbff33057,b1d7cb92-61dd-4208-b8aa-c6bf164b9580,c5,c3,3396,?,p2,
1769755523.3152108,CREATED,53200c16-0c0c-4a2d-9ec7-c2079a3dcdd5,dc07fed3-6406-4286-8c56-0bf981529919,c5,c3,26,?,?,surb={'id': '0ddf2d50-2fa8-4f55-a1bc-7c8c37bf9b07', 'route': ['p3', 'e10', 'i12', 'x4', 'p2', 'c5']}
1769755523.6948466,RECEIVED,300a3d41-1501-437e-8490-c6fb7bc5fa62,de009d85-afa3-40e1-aa1d-135bcdf54a02,c3,c5,27,p2,?,surb={'id': '5fbbbea4-2a3d-4dde-97ae-aa9cdc2047d3', 'route': ['p2', 'e9', 'i8', 'x5', 'p3', 'c3']}
1769755524.2295008,SENT,b6722bd3-ebd2-4077-9deb-b2482c1f4393,d870eac1-a52a-46cb-bf99-52ddd0786e06,c5,c3,3392,?,p2,
1769755524.229548,CREATED,d8cf784f-9f91-4c2c-bd65-adeef4e8edcb,dc07fed3-6406-4286-8c56-0bf981529919,c5,c3,26,?,?,surb={'id': '0ddf2d50-2fa8-4f55-a1bc-7c8c37bf9b07', 'route': ['p3', 'e10', 'i12', 'x4', 'p2', 'c5']}
1769755524.3556147,SENT,700454b1-90cf-4406-973f-32dcb6c1f68b,5dc4d149-4b75-40bf-8e8f-b8d5e7a70627,c5,c3,3400,?,p2,
1769755524.3556619,CREATED,5bc25dd2-b4cb-4663-83e8-789f88c01f4a,d951f376-6d86-4dec-a649-23bc46772244,c5,c3,27,?,?,surb={'id': '50a31e9c-b909-4cfa-bc5c-730d7ede7a17', 'route': ['p3', 'e10', 'i8', 'x5', 'p2', 'c5']}
1769755524.72102,RECEIVED,c1d296cb-d48a-41ab-a627-e07dfec1040e,6cc95283-7798-47f6-890e-fbe4cd4e08a9,c3,c5,26,p2,?,surb={'id': '3d1e55e3-3294-4e91-a9f6-04868542e22f', 'route': ['p2', 'e3', 'i4', 'x3', 'p3', 'c3']}
1769755524.7479405,SENT,98c116e5-5c69-405e-a459-d1fa20f315aa,d44637f2-2531-4d11-8bbf-4f136e2b3847,c5,c3,3396,?,p2,
1769755524.7481031,CREATED,fcc1cce1-03ba-41cc-b004-bb23d2092a06,d951f376-6d86-4dec-a649-23bc46772244,c5,c3,27,?,?,surb={'id': '50a31e9c-b909-4cfa-bc5c-730d7ede7a17', 'route': ['p3', 'e10', 'i8', 'x5', 'p2', 'c5']}
1769755524.8005614,RECEIVED,5157e56a-81f0-4419-9f42-d8c01b6a68a4,00e7e6d3-f961-401c-9b6c-38844f5a1cc4,c3,c5,26,p2,?,surb={'id': 'e37858c3-4f09-472e-bae3-42dc8d48104c', 'route': ['p2', 'e1', 'i5', 'x6', 'p3', 'c3']}
1769755524.9559364,RECEIVED,c737e549-921f-4c37-9fea-05b8e7601627,94a47e9c-93de-4f85-bbca-6ca62003fd6f,c3,c5,26,p2,?,surb={'id': '752ac931-9558-4b84-a275-d3ce6744d151', 'route': ['p2', 'e8', 'i7', 'x5', 'p3', 'c3']}
1769755525.188543,RECEIVED,7bcebbd0-412f-47d7-8387-b9a1213db6aa,de009d85-afa3-40e1-aa1d-135bcdf54a02,c3,c5,27,p2,?,surb={'id': '5fbbbea4-2a3d-4dde-97ae-aa9cdc2047d3', 'route': ['p2', 'e9', 'i8', 'x5', 'p3', 'c3']}
1769755525.2191603,RECEIVED,90aa36f6-0954-4ba8-b739-5513252bb1c2,00e7e6d3-f961-401c-9b6c-38844f5a1cc4,c3,c5,26,p2,?,surb={'id': 'e37858c3-4f09-472e-bae3-42dc8d48104c', 'route': ['p2', 'e1', 'i5', 'x6', 'p3', 'c3']}
1769755525.2882304,RECEIVED,24a3ed38-5859-4ba1-bfc3-04448fe43b23,f9349560-3215-42de-9d2e-a76f910ff349,c3,c5,27,p2,?,surb={'id': '2498a241-3d52-4746-bbc2-3b71eb3bbda5', 'route': ['p2', 'e9', 'i9', 'x1', 'p3', 'c3']}
1769755525.5778575,RECEIVED,e18bb790-c4db-4320-9e30-015f9ee2d0c9,94a47e9c-93de-4f85-bbca-6ca62003fd6f,c3,c5,26,p2,?,surb={'id': '752ac931-9558-4b84-a275-d3ce6744d151', 'route': ['p2', 'e8', 'i7', 'x5', 'p3', 'c3']}
1769755526.2759657,RECEIVED,6bec0f31-a106-4710-b4a6-5451d9315f18,545d6cc5-49a0-407e-a46f-f70e60d9ba40,c3,c5,27,p2,?,surb={'id': 'd74d638e-8530-4df9-ba6d-44c7df380880', 'route': ['p2', 'e1', 'i9', 'x11', 'p3', 'c3']}
1769755526.3453054,RECEIVED,dfb82131-1ac8-4e90-b3a9-c55d2be2e1c7,5cafaa17-ab7c-49c6-8f09-ff8d7ab10c15,c3,c5,26,p2,?,surb={'id': '25e9a434-5c69-46fd-9537-3e6fc6756d31', 'route': ['p2', 'e1', 'i6', 'x4', 'p3', 'c3']}
1769755526.3527014,RECEIVED,df8c42e9-9bfa-4142-980d-114b61db5130,545d6cc5-49a0-407e-a46f-f70e60d9ba40,c3,c5,27,p2,?,surb={'id': 'd74d638e-8530-4df9-ba6d-44c7df380880', 'route': ['p2', 'e1', 'i9', 'x11', 'p3', 'c3']}
1769755526.582471,RECEIVED,4c903edb-387e-4dda-b248-c6ebee75ce8b,5b82b0e1-a84d-423b-9dbd-a05e459dce41,c3,c5,27,p2,?,surb={'id': 'e49723e4-bfd4-43fa-958b-d3a376266b3b', 'route': ['p2', 'e1', 'i2', 'x5', 'p3', 'c3']}
1769755526.6472306,SENT,e4a690cc-3375-4bdd-aae6-2ddb02ad14bd,6199fb09-43ca-426b-b710-5a67e8c95e39,c5,c3,3371,?,p2,
1769755526.6473296,CREATED,6d6bc3bd-7607-430c-b6b3-66fe2b56708c,ebdd01ef-6f76-4944-a83c-6dcebd9ae251,c5,c3,25,?,?,surb={'id': 'e2ab9265-752b-4ae9-a044-b2644b8919e1', 'route': ['p3', 'e3', 'i1', 'x11', 'p2', 'c5']}
1769755526.719429,SENT,6163d7eb-85be-4327-9a31-8ee20c6cbff6,9a2bb9b5-6d9f-44af-9032-06b5eba598f9,c5,c3,3384,?,p2,
1769755526.7195308,CREATED,e5ed90b6-376c-4547-badd-34392cdd1a6a,ebdd01ef-6f76-4944-a83c-6dcebd9ae251,c5,c3,25,?,?,surb={'id': 'e2ab9265-752b-4ae9-a044-b2644b8919e1', 'route': ['p3', 'e3', 'i1', 'x11', 'p2', 'c5']}
1769755526.8319874,SENT,9658e3b8-5ab0-44f9-9de0-f4a73523db7f,7d5dc467-2fa9-47e3-825c-b26e8b54b81e,c5,c3,3383,?,p2,
1769755526.8321092,CREATED,32021784-4ea6-4b49-8346-0c62ea89aa92,914aa01c-c20e-49e1-864a-76bbafd3f5dd,c5,c3,26,?,?,surb={'id': '2c965485-aa49-4716-8d53-913c078fa1e5', 'route': ['p3', 'e9', 'i7', 'x8', 'p2', 'c5']}
1769755526.955393,RECEIVED,068e8f5f-ecda-424d-9e78-09299e811c3e,5cafaa17-ab7c-49c6-8f09-ff8d7ab10c15,c3,c5,26,p2,?,surb={'id': '25e9a434-5c69-46fd-9537-3e6fc6756d31', 'route': ['p2', 'e1', 'i6', 'x4', 'p3', 'c3']}
1769755527.1693285,SENT,b02431c3-97fe-4ae0-bc93-09f820aef328,41ef019b-6d78-4bdf-b063-197dd5a80c6f,c5,c3,3375,?,p2,
1769755527.1695266,CREATED,4617aba9-5fd4-4bd9-920b-544a904aca1c,914aa01c-c20e-49e1-864a-76bbafd3f5dd,c5,c3,26,?,?,surb={'id': '2c965485-aa49-4716-8d53-913c078fa1e5', 'route': ['p3', 'e9', 'i7', 'x8', 'p2', 'c5']}
1769755527.3498352,RECEIVED,ada2b1a2-1a20-4d2d-bcb1-d49b7ab80fef,5b82b0e1-a84d-423b-9dbd-a05e459dce41,c3,c5,27,p2,?,surb={'id': 'e49723e4-bfd4-43fa-958b-d3a376266b3b', 'route': ['p2', 'e1', 'i2', 'x5', 'p3', 'c3']}
1769755527.3919818,SENT,ecce3e53-01ba-4ed5-a6ba-982e3ef9e7c7,c81102f4-1c24-419c-9a56-c0194f95e225,c5,c3,3360,?,p2,
1769755527.3923643,CREATED,fdd3ad42-9dcd-4cb5-a231-f6423a2ba031,f2a7aabc-e510-4825-9f33-764fee59a191,c5,c3,27,?,?,surb={'id': '57deb1c6-0dba-48d7-bbff-f9e8e67901e1', 'route': ['p3', 'e6', 'i1', 'x9', 'p2', 'c5']}
1769755527.4629226,SENT,880dd532-3221-40bc-8111-062263d7d5d6,49c56dc4-6b5b-4668-a0c9-600ddd921ce8,c5,c3,3403,?,p2,
1769755527.4630232,CREATED,5e109e30-febd-494b-9c85-45d47bc0f51d,f2a7aabc-e510-4825-9f33-764fee59a191,c5,c3,27,?,?,surb={'id': '57deb1c6-0dba-48d7-bbff-f9e8e67901e1', 'route': ['p3', 'e6', 'i1', 'x9', 'p2', 'c5']}
1769755527.5124857,SENT,355229f5-e02f-40ae-abab-5ae061e59b8e,20272f60-1de1-4742-8f1d-d3aa92bb9242,c5,c3,3395,?,p2,
1769755527.5125856,CREATED,e4d6bde1-83a1-49d5-95ea-584c44a20c76,22f32017-791d-416d-80a9-13d6839c684c,c5,c3,27,?,?,surb={'id': '9c4af443-c9c4-4005-a60d-b45e4d7957a5', 'route': ['p3', 'e11', 'i6', 'x2', 'p2', 'c5']}
1769755527.8344007,SENT,48b9b10e-2407-4696-b9f1-a2a4ee05ef90,eb48713a-a750-49db-9363-dd0e5cf4b1ed,c5,c3,3380,?,p2,
1769755527.834548,CREATED,13397e12-384c-40fa-9b1b-4343667cf0cc,22f32017-791d-416d-80a9-13d6839c684c,c5,c3,27,?,?,surb={'id': '9c4af443-c9c4-4005-a60d-b45e4d7957a5', 'route': ['p3', 'e11', 'i6', 'x2', 'p2', 'c5']}
1769755528.1581326,RECEIVED,517fe6b1-0d50-4054-a0af-745224e97bad,56312d17-f3f9-44a6-96df-4bcac75df31e,c3,c5,27,p2,?,surb={'id': '406c5d26-68ae-4cd6-8cd0-94d7c82645f8', 'route': ['p2', 'e4', 'i8', 'x11', 'p3', 'c3']}
1769755528.309496,RECEIVED,395ddb6c-e1ef-4cc8-99fb-e765e2e0163d,6791eb57-3a88-4726-b9e9-8cce7b86a9c5,c3,c5,27,p2,?,surb={'id': '26e398bd-fa6b-4ea8-b099-90e7a0f45c16', 'route': ['p2', 'e8', 'i5', 'x12', 'p3', 'c3']}
1769755528.4055963,RECEIVED,d4f33fc5-1a34-46a5-8a53-24e8024f3edb,6791eb57-3a88-4726-b9e9-8cce7b86a9c5,c3,c5,27,p2,?,surb={'id': '26e398bd-fa6b-4ea8-b099-90e7a0f45c16', 'route': ['p2', 'e8', 'i5', 'x12', 'p3', 'c3']}
1769755528.4471474,SENT,45975355-fa1d-4565-83a5-9123ba514300,ac813ad0-94c5-4e87-b501-3f27d0ab7f96,c5,c3,3392,?,p2,
1769755528.4472456,CREATED,049de1a4-8976-47ca-addb-487c1fa06b1e,eb16b5b3-6ba0-4eef-9ebf-02db1163beed,c5,c3,27,?,?,surb={'id': '7ac5b5c1-b593-4070-945c-3c83e94a63f8', 'route': ['p3', 'e12', 'i4', 'x6', 'p2', 'c5']}
1769755528.4981515,SENT,dfccf3b4-29a1-4ced-b5ec-58333e2c6488,b55ceb8d-e53c-4a5e-96ed-b3d69aae8c31,c5,c3,3396,?,p2,
1769755528.498235,CREATED,a4baca28-4e21-4dba-97e9-69fd9a261638,eb16b5b3-6ba0-4eef-9ebf-02db1163beed,c5,c3,27,?,?,surb={'id': '7ac5b5c1-b593-4070-945c-3c83e94a63f8', 'route': ['p3', 'e12', 'i4', 'x6', 'p2', 'c5']}
1769755528.532777,RECEIVED,2796aeea-730a-4cc0-a31e-f73e5a525830,551cfb36-6ce2-4bd1-83da-dd5f247331fa,c3,c5,26,p2,?,surb={'id': '270950f6-d2f9-4d85-91b5-1a10a7c4226a', 'route': ['p2', 'e11', 'i9', 'x4', 'p3', 'c3']}
1769755528.8133998,SENT,3fccba3e-2600-4402-bc1c-6a457f7e6f46,3764beee-e8ee-4fdb-85db-9f4e8001076b,c5,c3,3388,?,p2,
1769755528.813515,CREATED,4f19f920-2f20-4b02-a4a5-536d2ae4cbf1,9e148a86-eb9d-4c91-9bb8-1929e1479c25,c5,c3,27,?,?,surb={'id': 'fa2cb82a-4e82-4fcd-9222-a598d83e4a91', 'route': ['p3', 'e5', 'i11', 'x1', 'p2', 'c5']}
1769755528.9291494,RECEIVED,2bff44f3-1aa4-4a18-a218-50d29dc7278c,551cfb36-6ce2-4bd1-83da-dd5f247331fa,c3,c5,26,p2,?,surb={'id': '270950f6-d2f9-4d85-91b5-1a10a7c4226a', 'route': ['p2', 'e11', 'i9', 'x4', 'p3', 'c3']}
1769755529.1436388,RECEIVED,ba02e157-97ce-4709-92d4-83fb6cba6c1e,2144d9fa-09aa-4666-bee3-8329af795102,c3,c5,26,p2,?,surb={'id': 'b8d07e6b-6148-44b1-a1d3-3d3119d6e760', 'route': ['p2', 'e2', 'i9', 'x11', 'p3', 'c3']}
