timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769755320.203996,CREATED,873fda32-f16a-463f-80a3-2e17d9b62e9a,ebcd8845-dc69-4d7b-aa77-6a1869cbfd8a,c3,c5,27,?,?,surb={'id': '7fc6ab55-cf81-4748-a3a6-dddaf4267343', 'route': ['p2', 'e6', 'i7', 'x4', 'p3', 'c3']}
1769755320.2437294,RECEIVED,d57329a4-cc2e-4bba-bc87-00c8d366d791,e700c4a7-020d-4439-b799-072f03df2424,c2,c3,27,p3,?,surb={'id': '654fde92-d08e-437f-a88e-dfcc22724649', 'route': ['p3', 'e9', 'i10', 'x8', 'p2', 'c2']}
1769755320.3070087,RECEIVED,4794cdc9-d62e-498e-a39b-b674a81bb457,ed52f9e7-7198-4f90-87cd-b7ea9b9573f3,c5,c3,26,p3,?,surb={'id': '645f3158-edfb-4a1e-bb88-bcc686c69fd6', 'route': ['p3', 'e6', 'i5', 'x7', 'p2', 'c5']}
1769755320.4101205,RECEIVED,edfed379-89a6-49e7-96c1-82f3486c2b6e,b29ae27b-08b0-4462-b2e6-a8fca23a2350,c5,c3,26,p3,?,surb={'id': '6864479f-8cd5-4958-be48-9c45d94a953f', 'route': ['p3', 'e4', 'i3', 'x9', 'p2', 'c5']}
1769755320.5802515,SENT,ae2a5ed4-e36d-4754-af69-974a5a061c7a,c1ebb39b-9e70-4de0-9f43-6783b526dd80,c3,c5,3371,?,p3,
1769755320.5803838,CREATED,7c37a70f-0225-446a-b9f6-610ff5b14793,1f2b56bc-59a5-445d-a6ad-0b85bb720b2b,c3,c5,27,?,?,surb={'id': 'a74c22a8-32b3-4f22-acb6-8e6c6176d15d', 'route': ['p2', 'e9', 'i12', 'x1', 'p3', 'c3']}
1769755321.0890136,RECEIVED,dc6c8613-0f76-4fa7-94d7-de942e68bac0,b29ae27b-08b0-4462-b2e6-a8fca23a2350,c5,c3,26,p3,?,surb={'id': '6864479f-8cd5-4958-be48-9c45d94a953f', 'route': ['p3', 'e4', 'i3', 'x9', 'p2', 'c5']}
1769755321.2604148,RECEIVED,c8d101d9-0771-4869-8b2d-bd1e59c7a1d8,ed52f9e7-7198-4f90-87cd-b7ea9b9573f3,c5,c3,26,p3,?,surb={'id': '645f3158-edfb-4a1e-bb88-bcc686c69fd6', 'route': ['p3', 'e6', 'i5', 'x7', 'p2', 'c5']}
1769755321.4922893,SENT,1a4bd182-445a-42c0-92f9-ba98b833dd17,03570042-8da0-4348-b982-47651026ea3e,c3,c5,3391,?,p3,
1769755321.4924245,CREATED,68a56abf-108c-4803-b36b-bdb47b99b560,1f2b56bc-59a5-445d-a6ad-0b85bb720b2b,c3,c5,27,?,?,surb={'id': 'a74c22a8-32b3-4f22-acb6-8e6c6176d15d', 'route': ['p2', 'e9', 'i12', 'x1', 'p3', 'c3']}
