timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769749150.743599,SENT,11e229b0-34a5-4894-8145-47a37db266a3,0c8b239d-c43c-4ea8-913c-b8e44caf6166,c5,c3,3376,?,p2,
1769749150.7437594,CREATED,6fe4f519-992e-4f46-b421-364db8288c41,bdac8b43-a7d5-4d35-b5fe-0cf472d18a76,c5,c3,26,?,?,surb={'id': '5f58ced5-31f9-4597-a69d-633b5d1baf14', 'route': ['p3', 'e4', 'i1', 'x6', 'p2', 'c5']}
1769749151.2789578,SENT,ea27e2e1-1f9c-4cf5-a9c1-1d4f86a404cd,eae4ad50-358b-432c-8af1-b524d319e244,c5,c3,3372,?,p2,
1769749151.279121,CREATED,13d7bd55-d674-43b2-8baf-25b994f0ced8,adc1b260-5359-4b20-a5ef-c0cf4ed8d01f,c5,c3,27,?,?,surb={'id': 'e1369c6c-cb3b-4985-9e15-aebe9fd1a51e', 'route': ['p3', 'e1', 'i9', 'x9', 'p2', 'c5']}
1769749151.4651878,SENT,e2f941ae-5013-4bd7-9e2b-4493d23cd445,d603be06-25de-4c12-9a3a-0af373b0e690,c5,c3,3383,?,p2,
1769749151.4653232,CREATED,a1fbbc3a-e87c-47ec-b465-9ccb0f8573cc,30e47b63-3eb8-40cb-8db8-9162c25d53fb,c5,c3,27,?,?,surb={'id': '34614b5e-2ab0-48c6-9e21-2d80d74d42d9', 'route': ['p3', 'e9', 'i8', 'x12', 'p2', 'c5']}
1769749151.7741077,SENT,af5441f9-636a-4c00-8b07-6aa4087aa686,733f8b8a-a678-41e7-8783-a48f98cd88fd,c5,c3,3399,?,p2,
1769749151.7742739,CREATED,140ef5de-24a0-4c34-866d-356e3d058a52,b313fb8a-9283-44b2-987c-495917d91b4f,c5,c3,26,?,?,surb={'id': '7c6a3deb-e55c-421e-b024-5ad1b9fa91db', 'route': ['p3', 'e4', 'i12', 'x10', 'p2', 'c5']}
1769749153.2105064,SENT,5c0aeb09-3b06-4c0c-b0b4-9eefbb86be3c,56740fb9-d95f-4392-82c4-467e416bfb29,c5,c3,3379,?,p2,
1769749153.2106519,CREATED,a1005af0-071d-4d3e-bbce-50a13e56fa97,54791c1c-9f17-4402-a50c-b202f07b0660,c5,c3,27,?,?,surb={'id': 'f2d861fe-9958-4248-ac57-ab6e1c40832e', 'route': ['p3', 'e7', 'i12', 'x8', 'p2', 'c5']}
1769749153.262969,RECEIVED,3f78c86a-42b4-4da1-95b0-0c241cdf6644,ebfed9ea-c218-4c4c-a1c3-72fa9c5d2dc0,c1,c5,27,p2,?,surb={'id': '85e2a24d-d812-44b6-af59-798cc0cb3fe8', 'route': ['p2', 'e5', 'i9', 'x5', 'p1', 'c1']}
1769749153.387479,SENT,170eb99d-1449-43b4-a3fc-5b76a81ecc29,5b9e33f0-623e-46e2-aeaa-1bb87456dca9,c5,c3,3400,?,p2,
1769749153.3876448,CREATED,35b6dec4-b6bf-47c6-b8ee-715deab81dd7,26d495c8-2ac8-495f-8966-b09e6ded5c47,c5,c3,27,?,?,surb={'id': '0d5fd1c6-8280-49eb-a625-009dca9778e6', 'route': ['p3', 'e12', 'i1', 'x7', 'p2', 'c5']}
1769749153.4703975,SENT,759216e7-9405-4633-ad0f-6620ebf78523,e6318004-8093-41f3-86c7-599e7dec9878,c5,c3,3379,?,p2,
