timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769749150.3606732,SENT,9aef9db8-b243-4818-92a8-8699775a69e6,15e7ae53-24d9-49f2-a198-12c52a279195,c3,c1,3378,?,p3,
1769749150.3608513,CREATED,e7ef04d8-ad61-4bbc-bd6a-ca943ea0b452,f0a325db-99ef-49f4-9a09-bccc133fca07,c3,c1,26,?,?,surb={'id': '4bb8042a-2f03-4d5a-a543-61b7fbee2075', 'route': ['p1', 'e3', 'i4', 'x7', 'p3', 'c3']}
1769749150.4588833,SENT,020837fe-33de-4c78-8a9c-0485a72cbbb1,3cfe69c1-4a95-422f-af59-5b80ff1ea0a6,c3,DROP,2023,?,p3,
1769749150.4590173,CREATED,ab1e4795-ee82-4311-8304-94effffcbb72,dbd7b734-9fa2-4dc9-889e-9ab5bfe0526b,c3,DROP,26,?,?,
1769749150.919515,SENT,184533be-bc0c-4d3a-9b3a-76566413cf88,75bdb6eb-66c1-4e5e-9cb3-223139dc513f,c3,c1,3376,?,p3,
1769749150.919665,CREATED,679aad19-ac0e-403c-b359-1253bc0606dd,f0b4de1c-f9d2-4cac-8437-b70886457c48,c3,c1,27,?,?,surb={'id': 'f29386ad-6321-46a5-bb4f-02b3fba94b37', 'route': ['p1', 'e11', 'i9', 'x4', 'p3', 'c3']}
1769749151.2593536,SENT,54c4f9bd-21c2-4f5c-a68d-412c78e97ecf,f280f2fc-af5d-4bfc-9872-cc490c1aa15c,c3,c1,3355,?,p3,
1769749151.259499,CREATED,b33df218-0e5e-40fe-a639-810e28c8a787,30fd8ff0-e2aa-4b0b-b022-a939917e4caf,c3,c1,27,?,?,surb={'id': '7f54bcc5-2319-462a-b690-8c99e5461bb3', 'route': ['p1', 'e4', 'i11', 'x6', 'p3', 'c3']}
1769749151.3011153,SENT,badb68a0-726d-4f1b-9308-c0674939cca5,fe9e2238-58d0-4af4-bfbb-ea4c233a3b8d,c3,c1,3380,?,p3,
1769749151.3012552,CREATED,c24bfe79-9826-456b-a5e1-b061c4f6040b,c3e00e4d-eea7-4c25-9fab-2c709c68a589,c3,c1,27,?,?,surb={'id': '628409e9-22ef-4225-802b-d64226c66a1e', 'route': ['p1', 'e1', 'i10', 'x1', 'p3', 'c3']}
1769749151.3207743,SENT,0b419854-fec1-4816-b3e4-406606718e4a,f1660032-f7d7-4deb-940f-911dab5c5ab6,c3,DROP,2037,?,p3,
1769749151.3212397,CREATED,919c136c-b338-4173-945e-97eeaa812a9a,e744e7c7-db63-4c4a-9d5a-b0f11f74ef7d,c3,DROP,27,?,?,
1769749151.7750108,RECEIVED,6fe4f519-992e-4f46-b421-364db8288c41,bdac8b43-a7d5-4d35-b5fe-0cf472d18a76,c5,c3,26,p3,?,surb={'id': '5f58ced5-31f9-4597-a69d-633b5d1baf14', 'route': ['p3', 'e4', 'i1', 'x6', 'p2', 'c5']}
1769749152.2236893,SENT,5d7085b0-903e-47c0-ab43-9c6a9140adb4,7bbcb776-3f7e-4bdf-b4d6-e914051226ac,c3,c1,3404,?,p3,
1769749152.2238398,CREATED,99895cce-d554-46f3-982a-97d15004c9a4,da07d427-816d-4dd2-b0ec-9130f5810c43,c3,c1,27,?,?,surb={'id': 'e79e6346-0f50-4563-9f83-92a013698af2', 'route': ['p1', 'e7', 'i4', 'x10', 'p3', 'c3']}
1769749152.2480133,SENT,eb488939-a05c-4407-a53e-309e47077f2e,c19941bc-416b-478b-9dd7-a83232f6f74d,c3,c1,3385,?,p3,
1769749152.248225,CREATED,581a9400-c9ef-4bc6-b0b7-d301dcfce079,f59ca2b8-76bc-489e-91ba-0c420904c71d,c3,c1,27,?,?,surb={'id': 'f0598d25-0ff9-465a-9de9-12300cb32d9a', 'route': ['p1', 'e8', 'i5', 'x3', 'p3', 'c3']}
1769749152.3519661,SENT,cfc0ebd1-b474-4f30-8b0f-74d446bcf72b,60217031-ca8f-47f7-8e4c-84b3264bda17,c3,c1,3380,?,p3,
1769749152.3521624,CREATED,565f5d34-a40c-4c93-b760-cdacdfe5a766,e1221633-f750-49aa-897f-b0ff03433d8c,c3,c1,27,?,?,surb={'id': '09dded35-ab8a-4cda-8d8d-6c91177e09b2', 'route': ['p1', 'e1', 'i7', 'x3', 'p3', 'c3']}
1769749152.362233,RECEIVED,13d7bd55-d674-43b2-8baf-25b994f0ced8,adc1b260-5359-4b20-a5ef-c0cf4ed8d01f,c5,c3,27,p3,?,surb={'id': 'e1369c6c-cb3b-4985-9e15-aebe9fd1a51e', 'route': ['p3', 'e1', 'i9', 'x9', 'p2', 'c5']}
1769749152.4442163,SENT,8604eb1f-6b3c-4b81-adb5-48978676bc34,daade42a-46e8-46e4-89f5-2b5c2f6436d5,c3,c1,3372,?,p3,
1769749152.444351,CREATED,01fce2ba-1dcc-4b6d-9afe-cdf224376674,685ef68a-494f-4096-a1e7-4415e40e18d9,c3,c1,27,?,?,surb={'id': 'aab95ff9-b95c-4ed7-85d0-0b8e73409136', 'route': ['p1', 'e10', 'i4', 'x8', 'p3', 'c3']}
1769749152.5382318,RECEIVED,a1fbbc3a-e87c-47ec-b465-9ccb0f8573cc,30e47b63-3eb8-40cb-8db8-9162c25d53fb,c5,c3,27,p3,?,surb={'id': '34614b5e-2ab0-48c6-9e21-2d80d74d42d9', 'route': ['p3', 'e9', 'i8', 'x12', 'p2', 'c5']}
1769749152.5741029,RECEIVED,140ef5de-24a0-4c34-866d-356e3d058a52,b313fb8a-9283-44b2-987c-495917d91b4f,c5,c3,26,p3,?,surb={'id': '7c6a3deb-e55c-421e-b024-5ad1b9fa91db', 'route': ['p3', 'e4', 'i12', 'x10', 'p2', 'c5']}
1769749152.5847485,SENT,578305a4-892a-4798-8fd0-4e21d10ec985,c60c0f91-4e60-4232-a824-cf2a370b450f,c3,c1,3377,?,p3,
1769749152.584904,CREATED,c822c6d4-3d09-4448-9989-435171505c08,7376790f-f1e4-4754-aef7-72177e58705d,c3,c1,25,?,?,surb={'id': '49a75710-7730-425b-b561-f53f19fbd2ef', 'route': ['p1', 'e12', 'i2', 'x2', 'p3', 'c3']}
1769749152.731733,SENT,cdc85ff2-d563-49c8-8311-044c47faf4fb,fd9c49e3-eb1d-4728-b888-40c129fca43b,c3,DROP,2027,?,p3,
1769749152.73188,CREATED,b72777c0-2ab0-42d8-8bb3-f96ed4a2cbd0,a9dd6f61-1c4f-42df-992e-f7cbe0288344,c3,DROP,27,?,?,
1769749152.9165442,SENT,802f53e4-17e2-47b6-bfc9-037e22c5e3b2,7d822241-a15b-4401-8c7b-c53f05be4890,c3,c1,3395,?,p3,
1769749152.916672,CREATED,c94dd584-ee09-4358-aa9b-bcacae9074ec,3f2645ff-4533-42a5-9cad-e84277a36d15,c3,c1,27,?,?,surb={'id': '6ba9c171-139d-46e7-818f-1e890d552e84', 'route': ['p1', 'e2', 'i12', 'x7', 'p3', 'c3']}
1769749153.0117002,SENT,73a81b7e-083b-4779-a02a-7a54680075e5,cfbe52b1-e62e-4997-8174-f3891fd170c5,c3,DROP,2025,?,p3,
1769749153.0127132,CREATED,38d8c1f4-61c0-472c-8f85-7843fcf00719,a7d673e8-7379-4a78-a2e3-a7934c0988c9,c3,DROP,26,?,?,
1769749153.0370083,RECEIVED,ebd6c8e4-b951-4279-9c0a-38f10184d6fe,a4f9e40c-33c7-4c87-b0a0-8ff856b5e764,c4,c3,26,p3,?,surb={'id': '88f645c0-f6fc-4199-8206-876ce944fab3', 'route': ['p3', 'e3', 'i12', 'x5', 'p1', 'c4']}
1769749153.373741,SENT,7c439df6-7de6-47b4-8757-da09c91df3b8,d27dfdfd-c48d-4021-90df-6515eb30d507,c3,c1,3367,?,p3,
1769749153.3738844,CREATED,6677ade0-498a-4be1-8080-a9454501f51f,3e945c37-078a-4d4c-911b-fef3d93de5d7,c3,c1,27,?,?,surb={'id': 'df3554bb-5bc0-4017-8ce5-cd45bdeb45cf', 'route': ['p1', 'e6', 'i3', 'x3', 'p3', 'c3']}
1769749153.550706,RECEIVED,06ba8296-4064-42e1-9f11-a32e5e806e6f,4f7d8b69-91b4-4223-ac7f-3d5895b43167,c4,c3,27,p3,?,surb={'id': '6f250563-59f1-4175-8f71-a2be24177f64', 'route': ['p3', 'e6', 'i11', 'x10', 'p1', 'c4']}
1769749153.5834901,RECEIVED,483c53d1-ec99-4616-842d-79d0a8644415,5a7a8fd4-97ea-47b4-91d9-f1a5637246ce,c4,c3,27,p3,?,surb={'id': '022a7fa7-725b-4bb8-98c0-badee3eafa99', 'route': ['p3', 'e5', 'i6', 'x8', 'p1', 'c4']}
1769749153.9168153,SENT,b93e88d0-16db-4814-b4b8-39aec54223c9,0e3fbbeb-d38b-49cd-98dc-271c9fb0061c,c3,c1,3395,?,p3,
1769749153.9169474,CREATED,2d99468f-5c31-49c9-8b44-309755a619dc,3c081627-cb3a-4cf8-aab2-fc73f5f356e2,c3,c1,27,?,?,surb={'id': '33a56c60-6b6d-493f-8d39-a7f84740396e', 'route': ['p1', 'e10', 'i10', 'x7', 'p3', 'c3']}
1769749153.949909,SENT,28513c80-9c8a-4387-8d28-375d150e0958,833a800e-32cc-4b6e-afe6-421194279904,c3,DROP,2024,?,p3,
1769749153.9506001,CREATED,5f42180a-e975-4fe1-939e-f384fd42fb6b,24c7e2f4-c09d-40a6-90de-30aba835a0f1,c3,DROP,27,?,?,
1769749154.006724,SENT,79a869a7-2b44-4ccc-94fd-b146df9d805f,652411a2-15f4-4c87-9e45-cf73ebb2eec9,c3,DROP,2016,?,p3,
1769749154.0068557,CREATED,09832e0d-a7fa-4545-8a81-40ca8b63d7df,50872c50-d93b-41ea-b493-466de8d98210,c3,DROP,26,?,?,
1769749154.2005246,SENT,8c5d4f46-e2db-42b0-9c1d-ca0b66f65818,d07fbe40-cdab-45e4-89be-3c02d0f003c1,c3,c1,3360,?,p3,
1769749154.2006984,CREATED,8e179a97-c8e0-49cd-8ac2-94b356b80c78,265d1dc7-8fc4-49a7-9902-cc1fb94578a2,c3,c1,26,?,?,surb={'id': '009cda36-cf42-4b19-bb42-7dcb0ff6841d', 'route': ['p1', 'e5', 'i10', 'x1', 'p3', 'c3']}
1769749154.2127306,RECEIVED,35b6dec4-b6bf-47c6-b8ee-715deab81dd7,26d495c8-2ac8-495f-8966-b09e6ded5c47,c5,c3,27,p3,?,surb={'id': '0d5fd1c6-8280-49eb-a625-009dca9778e6', 'route': ['p3', 'e12', 'i1', 'x7', 'p2', 'c5']}
1769749154.2722456,RECEIVED,0a9a0fc9-0462-4e99-a2a4-d01fa8c23aa2,a10706d9-4345-4e15-b123-27b4bd3c8e81,c4,c3,27,p3,?,surb={'id': 'a467811d-57f5-4c25-bfee-7935dad5fdcb', 'route': ['p3', 'e1', 'i4', 'x6', 'p1', 'c4']}
1769749154.3955226,RECEIVED,a1005af0-071d-4d3e-bbce-50a13e56fa97,54791c1c-9f17-4402-a50c-b202f07b0660,c5,c3,27,p3,?,surb={'id': 'f2d861fe-9958-4248-ac57-ab6e1c40832e', 'route': ['p3', 'e7', 'i12', 'x8', 'p2', 'c5']}
1769749154.509167,RECEIVED,e2a96a11-39ed-46c8-be5b-2615756e991a,467b65b5-3ca8-465a-8ddd-c58ee788460f,c4,c3,27,p3,?,surb={'id': '9a6fa940-3847-455a-8f2d-4b15b1112c1b', 'route': ['p3', 'e4', 'i12', 'x5', 'p1', 'c4']}
1769749154.8986022,RECEIVED,70540d47-7514-423c-b629-937022f2bf46,c77de5fd-9e76-4c40-b90a-f63986b1f647,c4,c3,26,p3,?,surb={'id': '00f2c272-cc88-4969-ada5-b9487fce3878', 'route': ['p3', 'e10', 'i6', 'x6', 'p1', 'c4']}
1769749155.2225268,SENT,cd260fa6-1247-4614-a47d-86b1d28ab157,224c78be-37e1-4876-9529-5f7a4d365c30,c3,c1,3359,?,p3,
1769749155.2226605,CREATED,a6ced09e-94ee-4f4f-9e3b-cd5be5ecf716,2c37e79d-ca29-4144-aad7-0655c256f35b,c3,c1,27,?,?,surb={'id': '6d87804c-8767-4daa-af3e-534e8c1bd44e', 'route': ['p1', 'e7', 'i12', 'x8', 'p3', 'c3']}
1769749155.2308116,RECEIVED,d7124f8b-1671-45c5-8419-a03041cda9ea,3a3805f6-a7a9-4899-b295-8b5823111157,c4,c3,27,p3,?,surb={'id': '213f8ada-29f5-42e7-b37d-76e9c268a00b', 'route': ['p3', 'e9', 'i12', 'x7', 'p1', 'c4']}
1769749155.3373494,RECEIVED,1aa4e541-24a2-4d08-b646-094d2bb27b87,340974d4-07fd-4af6-abe2-9ad177af456a,c5,c3,27,p3,?,surb={'id': 'bb51a1f2-1f7a-4ff5-9e95-86f8aedbe983', 'route': ['p3', 'e2', 'i10', 'x4', 'p2', 'c5']}
1769749155.3864243,RECEIVED,1894a26d-89ef-42b5-9da0-13c6410fe48c,2785d3f0-53d8-45f1-9a16-6f67bfbcaef7,c4,c3,27,p3,?,surb={'id': 'a8e51901-14e5-46b2-88f0-a8e64a3bf156', 'route': ['p3', 'e6', 'i12', 'x3', 'p1', 'c4']}
1769749155.593264,SENT,6a1fe301-e7f9-48fe-bf60-ace088e674b6,7fac9090-6d93-490c-bb68-92b67bf97bab,c3,c1,3376,?,p3,
1769749155.5934608,CREATED,b83f43ae-ed3a-41db-bba1-fa8a5350bf7f,3e8f2adb-92dc-4363-8877-ea98b3861ce1,c3,c1,26,?,?,surb={'id': '2ee06cef-94fb-4e32-8a21-b21ae7ec8e60', 'route': ['p1', 'e9', 'i12', 'x12', 'p3', 'c3']}
1769749155.7365863,SENT,60d7f740-35e0-4bf7-8cd3-54204dc7acc0,376587d5-1b24-4269-9b1f-767666fa9d6c,c3,c1,3393,?,p3,
