Node,Mean_Entropy,Max_Entropy,Mean_Pool
e10,7.203254296413696,8.806767225648326,94.48123123123123
e11,6.949901172368833,8.69813636746078,79.45107913669065
e12,6.923887582347223,8.578621554546823,73.91716417910447
e1,7.048841806954041,8.703999532450684,82.26303854875283
e2,7.149280194723358,8.796951771585482,90.00153139356814
e3,7.399671082130367,8.82378976904306,94.63731343283582
e4,7.204130273797798,8.780654157277393,87.43421998562185
e5,6.9633724779200366,8.789589364848355,83.27366104181952
e6,6.933104603072594,8.71802855462778,81.356780275562
e7,7.144581519390909,8.724961214825141,85.5562962962963
e8,6.967473187575828,8.637326568790426,77.12584777694046
e9,7.168532941077962,8.822038878167042,92.10522331566995
i10,7.200163486813236,8.67242462702483,83.54930606281958
i11,7.078203015857339,8.703205269877477,82.31696428571429
i12,3.4445081382827416,4.96945160506881,7.312977099236641
i1,7.14798026671251,8.728726798207916,85.3546468401487
i2,7.093467375009563,8.806738988743348,86.69136745607334
i3,7.127129236372841,8.797620370305896,85.21236363636363
i4,7.0423893110445475,8.831537624891594,84.78355314197051
i5,7.0905911973062326,8.859683257825138,91.20571010248902
i6,7.334883598991626,8.764903072468249,93.62957430918595
i7,6.906004184183445,8.60195134958326,77.74686346863469
i8,7.139185936391367,8.75186779661463,87.003861003861
i9,7.257694494785171,8.803175972048644,90.19985673352436
p1,4.790078721360495,5.538781354791382,11.159538244331866
p2,4.7712780165379005,5.51122965136438,11.016670813635233
p3,3.7692484594407003,5.047462134845438,6.031333333333333
x10,6.324421440424571,7.4277146147780995,38.397220190197515
x11,6.289741344474376,7.709469839205698,40.848794740686635
x12,3.560206097466517,4.511863467288216,5.848484848484849
x1,5.9046798178238555,7.310897735492094,29.73293768545994
x2,6.228897710571885,7.5376973937907925,38.25774754346183
x3,6.029066294402094,7.565461969416053,35.821481481481484
x4,6.51556401609181,7.6752175147361195,44.78091603053435
x5,6.5081530113998,7.787641234559359,45.94873756694721
x6,6.327924699631687,7.664493052091622,41.78421052631579
x7,6.395727591398924,7.642596095597665,41.85339506172839
x8,5.952388559939018,7.196924301269138,31.39326702371844
x9,6.028313513099733,7.5110527079337865,34.59104258443465
