link,llr,obs_count,rate
p1->c4,32.784219909019875,2063,11.173693922655321
p3->c3,21.765284785293943,2008,10.875800967858403
p1->e10,9.054916416161973,400,2.1664942167048613
p1->e5,8.082207561717368,420,2.274818927540104
x3->p1,7.991643783779329,255,1.381140063149349
p3->e7,6.2678219498065895,197,1.066998401727144
x12->p1,6.132370181599396,277,1.5002972450681162
p2->e11,6.055723781388314,414,2.2423215142895314
p1->e8,5.927991930277907,406,2.198991629955434
p1->e2,5.760740057425715,414,2.2423215142895314
p1->e7,5.6307040978675165,372,2.0148396215355207
p3->e4,5.256748257156542,218,1.1807393481041493
x8->p3,5.232566358564882,199,1.0778308728106685
c5->p2,5.196843247367013,2488,13.475594027904236
i11->x1,5.150887080379945,93,0.5037099053838802
x9->p1,4.784771707820577,287,1.5544596004857378
i4->x3,4.5938225334866365,99,0.5362073186344531
p2->e7,4.575559536741039,421,2.2802351630818665
p2->e1,4.534253050515437,373,2.020255857077283
i3->x4,4.378056874261545,98,0.530791083092691
e10->i2,4.302020864320089,86,0.4657962565915451
p1->e11,4.199759051459878,427,2.312732576332439
e8->i8,4.180825419332391,80,0.43329884334097224
i7->x9,4.178672400522605,85,0.460380021049783
c4->p1,4.1018091327519715,2491,13.491842734529522
i2->x9,4.065400026033043,92,0.49829366984211804
p1->e6,3.9490112899046057,420,2.274818927540104
i4->x11,3.9350026842255863,89,0.4820449632168316
x3->p3,3.9042774910711646,166,0.8990950999325173
p2->e10,3.8723971282244607,402,2.1773266877883852
i2->x8,3.8581205583463314,86,0.4657962565915451
p1->e3,3.7785492332162196,410,2.2206565721224827
p3->e5,3.6844002846287145,199,1.0778308728106685
e1->i2,3.647860001649666,83,0.4495475499662587
e5->i12,3.6179764126567404,79,0.42788260779921006
x4->p1,3.585148442071696,262,1.419053711941684
i10->x4,3.582627687889759,86,0.4657962565915451
e2->i3,3.516834013347843,96,0.5199586120091667
x7->p1,3.4944708589218196,271,1.4677998318175434
i5->x10,3.480857591634255,88,0.4766287276750694
i6->x10,3.4126826707518108,114,0.6174508517608854
e6->i11,3.3401494604037874,94,0.5091261409256423
e8->i3,3.3265590162574767,77,0.41705013671568575
x10->p1,3.307891982358856,242,1.310729001106441
e10->i4,3.305170437787816,85,0.460380021049783
e5->i10,3.297755648726177,97,0.5253748475509288
i4->x9,3.2910392989851625,91,0.4928774343003559
e4->i5,3.284348273179784,92,0.49829366984211804
x11->p1,3.247824180132989,251,1.3594751209823004
i11->x12,3.219863463822188,84,0.45496378550802086
e5->i1,3.2135065832976144,89,0.4820449632168316
x9->p3,3.0208215121580677,160,0.8665976866819445
i10->x11,3.014775984586503,97,0.5253748475509288
e7->i7,2.9764952270087335,81,0.43871507888273437
e2->i1,2.9747179932417973,78,0.42246637225744793
i3->x1,2.94322767045292,89,0.4820449632168316
e1->i4,2.925638022889598,104,0.5632884963432638
e8->i10,2.919720094868583,71,0.3845527234651128
x5->p1,2.9185730457224075,265,1.4353024185669705
e3->i4,2.917187156470294,88,0.4766287276750694
x10->p3,2.8840363935103595,195,1.0561659306436197
x1->p1,2.8759956189439677,252,1.3648913565240626
e10->i1,2.8600527701140086,95,0.5145423764674045
e5->i6,2.7938408477269387,84,0.45496378550802086
i12->x12,2.7600837163095315,87,0.4712124921333073
i2->x5,2.7518838056862718,96,0.5199586120091667
e9->i7,2.741358325520144,90,0.48746119875859373
e7->i5,2.725422034476221,78,0.42246637225744793
i12->x9,2.7240631367293675,87,0.4712124921333073
e11->i3,2.699198342509817,84,0.45496378550802086
i10->x5,2.676353650746842,85,0.460380021049783
i5->x7,2.6458564656344112,88,0.4766287276750694
e11->i12,2.621112659673697,82,0.44413131442449655
e9->i10,2.607397799228659,76,0.4116339011739236
i1->x9,2.605931290825535,77,0.41705013671568575
i12->x6,2.5393740641733666,36,0.1949844795034375
e1->i12,2.5302010170137574,99,0.5362073186344531
i3->x9,2.519286503906219,92,0.49829366984211804
i3->x5,2.43885307986678,76,0.4116339011739236
i5->x6,2.4321621923003853,45,0.24373059937929686
e12->i9,2.430931301540963,38,0.2058169505869618
e12->i2,2.4287265828852167,87,0.4712124921333073
e7->i4,2.363897128672183,92,0.49829366984211804
i5->x11,2.3210832456439947,80,0.43329884334097224
e9->i2,2.303918528238561,109,0.5903696740520746
i12->x7,2.302888321948088,82,0.44413131442449655
p2->e9,2.3016609382962727,415,2.2477377498312934
p2->e8,2.260554794328014,399,2.161077981163099
e6->i6,2.2564042238184863,118,0.639115793927934
